Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,,,Function Channels,,
Channel 2,,,-0.036010735355,-0.0385925211012363,-0.0508039630949497,,-0.036010735355,-0.000653050607070327,
Scale,800 mV/,,-0.0360016352575,-0.0385925211012363,-0.0508039630949497,,-0.0360016352575,-0.000653050607070327,
Pos,110 mV,,-0.03599253516,-0.0385925211012363,-0.0508039630949497,,-0.03599253516,-0.000653050607070327,
Coup,,,-0.0359834350625,-0.070753313601017,-0.0186431705951691,,-0.0359834350625,-0.0338561716489494,
BW,Off,,-0.035974334965,-0.0385925211012363,-0.0508039630949497,,-0.035974334965,-0.0338561716489494,
Inv,Off,,-0.0359652348675,-0.070753313601017,-0.0508039630949497,,-0.0359652348675,-0.0338561716489494,
Imp,1M Ohm,,-0.03595613477,-0.0385925211012363,-0.0186431705951691,,-0.03595613477,-0.0338561716489494,
Trace Label,2,,-0.0359470346725,-0.0385925211012363,-0.0186431705951691,,-0.0359470346725,-0.0338561716489494,
Probe,1,,-0.035937934575,-0.0385925211012363,-0.0186431705951691,,-0.035937934575,-0.0338561716489494,
Skew,0 s,,-0.0359288344775,-0.0385925211012363,-0.0508039630949497,,-0.0359288344775,-0.0338561716489494,
,,,-0.03591973438,-0.0385925211012363,-0.0508039630949497,,-0.03591973438,-0.0338561716489494,
MATH,,,-0.0359106342825,-0.0385925211012363,-0.0508039630949497,,-0.0359106342825,-0.0338561716489494,
Ch 1-Ch 2,,,-0.035901534185,-0.0385925211012363,-0.0186431705951691,,-0.035901534185,-0.000653050607070327,
Scale,1 /,,-0.0358924340875,-0.0385925211012363,-0.0508039630949497,,-0.0358924340875,-0.0338561716489494,
Offset,813.8 m,,-0.03588333399,-0.0385925211012363,-0.0186431705951691,,-0.03588333399,-0.000653050607070327,
,,,-0.0358742338925,-0.0385925211012363,-0.0186431705951691,,-0.0358742338925,-0.0338561716489494,
REFERENCE WAVEFORM,,,-0.035865133795,-0.0385925211012363,-0.0186431705951691,,-0.035865133795,-0.0338561716489494,
TRIGGER,,,-0.0358560336975,-0.070753313601017,-0.0508039630949497,,-0.0358560336975,-0.000653050607070327,
Sweep Mode,AUTO,,-0.0358469336,-0.0385925211012363,-0.0186431705951691,,-0.0358469336,-0.0338561716489494,
Coup,DC,,-0.0358378335025,-0.0385925211012363,-0.0186431705951691,,-0.0358378335025,-0.0338561716489494,
Noise Rej,Off,,-0.035828733405,-0.0385925211012363,-0.0186431705951691,,-0.035828733405,-0.000653050607070327,
HF Rej,Off,,-0.0358196333075,-0.0385925211012363,-0.0186431705951691,,-0.0358196333075,-0.0338561716489494,
Holdoff,40.0 ns,,-0.03581053321,-0.0385925211012363,-0.0508039630949497,,-0.03581053321,-0.0338561716489494,
Mode,GLIT,,-0.0358014331125,-0.070753313601017,-0.0186431705951691,,-0.0358014331125,-0.0338561716489494,
Source,CHAN1,,-0.035792333015,-0.0385925211012363,-0.0186431705951691,,-0.035792333015,-0.000653050607070327,
Slope,POS,,-0.0357832329175,-0.0385925211012363,-0.0508039630949497,,-0.0357832329175,-0.0338561716489494,
Level,0 V V,,-0.03577413282,-0.0385925211012363,-0.0186431705951691,,-0.03577413282,-0.0338561716489494,
,,,-0.0357650327225,-0.0385925211012363,-0.0186431705951691,,-0.0357650327225,-0.0338561716489494,
HORIZONTAL,,,-0.035755932625,-0.0385925211012363,-0.0186431705951691,,-0.035755932625,-0.000653050607070327,
Mode,MAIN,,-0.0357468325275,-0.0385925211012363,-0.0508039630949497,,-0.0357468325275,-0.0338561716489494,
Ref,CENT,,-0.03573773243,-0.0385925211012363,-0.0186431705951691,,-0.03573773243,-0.000653050607070327,
Main Scale,4.5 ms/,,-0.0357286323325,-0.0385925211012363,-0.0508039630949497,,-0.0357286323325,-0.0338561716489494,
Main Delay,-13.7 ms,,-0.035719532235,-0.0385925211012363,-0.0508039630949497,,-0.035719532235,-0.0338561716489494,
,,,-0.0357104321375,-0.0385925211012363,-0.0186431705951691,,-0.0357104321375,-0.0338561716489494,
ACQUISITION,,,-0.03570133204,-0.0385925211012363,-0.0186431705951691,,-0.03570133204,-0.0338561716489494,
Mode,NORM,,-0.0356922319425,-0.070753313601017,-0.0186431705951691,,-0.0356922319425,-0.0338561716489494,
RealTime,On,,-0.035683131845,-0.0385925211012363,-0.0508039630949497,,-0.035683131845,-0.000653050607070327,
Vectors,On,,-0.0356740317475,-0.0385925211012363,-0.0508039630949497,,-0.0356740317475,-0.0338561716489494,
Persistence,Off,,-0.03566493165,-0.0385925211012363,-0.0186431705951691,,-0.03566493165,-0.0338561716489494,
,,,-0.0356558315525,-0.0385925211012363,-0.0186431705951691,,-0.0356558315525,-0.0338561716489494,
MEASUREMENTS,,,-0.035646731455,-0.0385925211012363,-0.0508039630949497,,-0.035646731455,-0.0338561716489494,
Pk-Pk(1),,,-0.0356376313575,-0.0385925211012363,-0.0508039630949497,,-0.0356376313575,-0.000653050607070327,
Cur,No signal,,-0.03562853126,-0.0385925211012363,-0.0508039630949497,,-0.03562853126,-0.0338561716489494,
,,,-0.0356194311625,-0.0385925211012363,-0.0508039630949497,,-0.0356194311625,-0.000653050607070327,
Pk-Pk(2),,,-0.035610331065,-0.070753313601017,-0.0186431705951691,,-0.035610331065,-0.0338561716489494,
Cur,2.7 V,,-0.0356012309675,-0.0385925211012363,-0.0186431705951691,,-0.0356012309675,-0.0338561716489494,
,,,-0.03559213087,-0.0385925211012363,-0.0186431705951691,,-0.03559213087,-0.0338561716489494,
Pk-Pk(M),,,-0.0355830307725,-0.070753313601017,-0.0186431705951691,,-0.0355830307725,-0.0338561716489494,
Cur,3.63 ,,-0.035573930675,-0.0385925211012363,-0.0508039630949497,,-0.035573930675,-0.0338561716489494,
,,,-0.0355648305775,-0.0385925211012363,-0.0508039630949497,,-0.0355648305775,-0.0338561716489494,
,,,-0.03555573048,-0.0385925211012363,-0.0186431705951691,,-0.03555573048,-0.0338561716489494,
,,,-0.0355466303825,-0.0385925211012363,-0.0508039630949497,,-0.0355466303825,-0.0338561716489494,
,,,-0.035537530285,-0.0385925211012363,-0.0508039630949497,,-0.035537530285,-0.0338561716489494,
,,,-0.0355284301875,-0.0385925211012363,-0.0186431705951691,,-0.0355284301875,-0.0338561716489494,
,,,-0.03551933009,-0.0385925211012363,-0.0186431705951691,,-0.03551933009,-0.0338561716489494,
,,,-0.0355102299925,-0.0385925211012363,-0.0186431705951691,,-0.0355102299925,-0.0338561716489494,
,,,-0.035501129895,-0.0385925211012363,-0.0508039630949497,,-0.035501129895,-0.0338561716489494,
,,,-0.0354920297975,-0.070753313601017,-0.0508039630949497,,-0.0354920297975,-0.0338561716489494,
,,,-0.0354829297,-0.0385925211012363,-0.0508039630949497,,-0.0354829297,-0.0338561716489494,
,,,-0.0354738296025,-0.070753313601017,-0.0186431705951691,,-0.0354738296025,-0.0338561716489494,
,,,-0.035464729505,-0.0385925211012363,-0.0186431705951691,,-0.035464729505,-0.0338561716489494,
,,,-0.0354556294075,-0.0385925211012363,-0.0186431705951691,,-0.0354556294075,-0.0338561716489494,
,,,-0.03544652931,-0.0385925211012363,-0.0508039630949497,,-0.03544652931,-0.000653050607070327,
,,,-0.0354374292125,-0.070753313601017,-0.0186431705951691,,-0.0354374292125,-0.0338561716489494,
,,,-0.035428329115,-0.0385925211012363,-0.0508039630949497,,-0.035428329115,-0.0338561716489494,
,,,-0.0354192290175,-0.0385925211012363,-0.0186431705951691,,-0.0354192290175,-0.0338561716489494,
,,,-0.03541012892,-0.0385925211012363,-0.0508039630949497,,-0.03541012892,-0.0338561716489494,
,,,-0.0354010288225,-0.0385925211012363,-0.0508039630949497,,-0.0354010288225,-0.0338561716489494,
,,,-0.035391928725,-0.070753313601017,-0.0508039630949497,,-0.035391928725,-0.0338561716489494,
,,,-0.0353828286275,-0.0385925211012363,-0.0508039630949497,,-0.0353828286275,-0.0338561716489494,
,,,-0.03537372853,-0.0385925211012363,-0.0186431705951691,,-0.03537372853,-0.000653050607070327,
,,,-0.0353646284325,-0.0385925211012363,-0.0186431705951691,,-0.0353646284325,-0.0338561716489494,
,,,-0.035355528335,-0.0385925211012363,-0.0186431705951691,,-0.035355528335,-0.000653050607070327,
,,,-0.0353464282375,-0.0385925211012363,-0.0186431705951691,,-0.0353464282375,-0.0338561716489494,
,,,-0.03533732814,-0.0385925211012363,-0.0508039630949497,,-0.03533732814,-0.000653050607070327,
,,,-0.0353282280425,-0.0385925211012363,-0.0186431705951691,,-0.0353282280425,-0.0338561716489494,
,,,-0.035319127945,-0.0385925211012363,-0.0186431705951691,,-0.035319127945,-0.0338561716489494,
,,,-0.0353100278475,-0.0385925211012363,-0.0508039630949497,,-0.0353100278475,-0.0338561716489494,
,,,-0.03530092775,-0.0385925211012363,-0.0186431705951691,,-0.03530092775,-0.0338561716489494,
,,,-0.0352918276525,-0.0385925211012363,-0.0508039630949497,,-0.0352918276525,-0.0338561716489494,
,,,-0.035282727555,-0.0385925211012363,-0.0186431705951691,,-0.035282727555,-0.0338561716489494,
,,,-0.0352736274575,-0.0385925211012363,-0.0186431705951691,,-0.0352736274575,-0.0338561716489494,
,,,-0.03526452736,-0.070753313601017,-0.0186431705951691,,-0.03526452736,-0.000653050607070327,
,,,-0.0352554272625,-0.0385925211012363,-0.0186431705951691,,-0.0352554272625,-0.0338561716489494,
,,,-0.035246327165,-0.0385925211012363,-0.0186431705951691,,-0.035246327165,-0.000653050607070327,
,,,-0.0352372270675,-0.0385925211012363,-0.0508039630949497,,-0.0352372270675,-0.0338561716489494,
,,,-0.03522812697,-0.0385925211012363,-0.0508039630949497,,-0.03522812697,-0.0338561716489494,
,,,-0.0352190268725,-0.0385925211012363,-0.0508039630949497,,-0.0352190268725,-0.0338561716489494,
,,,-0.035209926775,-0.070753313601017,-0.0186431705951691,,-0.035209926775,-0.0338561716489494,
,,,-0.0352008266775,-0.0385925211012363,-0.0186431705951691,,-0.0352008266775,-0.0338561716489494,
,,,-0.03519172658,-0.070753313601017,-0.0186431705951691,,-0.03519172658,-0.0338561716489494,
,,,-0.0351826264825,-0.0385925211012363,-0.0508039630949497,,-0.0351826264825,-0.0338561716489494,
,,,-0.035173526385,-0.0385925211012363,-0.0186431705951691,,-0.035173526385,-0.000653050607070327,
,,,-0.0351644262875,-0.0385925211012363,-0.0508039630949497,,-0.0351644262875,-0.0338561716489494,
,,,-0.03515532619,-0.0385925211012363,-0.0508039630949497,,-0.03515532619,-0.0338561716489494,
,,,-0.0351462260925,-0.0385925211012363,-0.0508039630949497,,-0.0351462260925,-0.000653050607070327,
,,,-0.035137125995,-0.0385925211012363,-0.0508039630949497,,-0.035137125995,-0.0338561716489494,
,,,-0.0351280258975,-0.0385925211012363,-0.0186431705951691,,-0.0351280258975,-0.000653050607070327,
,,,-0.0351189258,-0.00643172860145569,-0.0186431705951691,,-0.0351189258,-0.000653050607070327,
,,,-0.0351098257025,-0.070753313601017,-0.0508039630949497,,-0.0351098257025,-0.0338561716489494,
,,,-0.035100725605,-0.0385925211012363,-0.0186431705951691,,-0.035100725605,-0.000653050607070327,
,,,-0.0350916255075,-0.0385925211012363,-0.0508039630949497,,-0.0350916255075,-0.0338561716489494,
,,,-0.03508252541,-0.070753313601017,-0.0186431705951691,,-0.03508252541,-0.0338561716489494,
,,,-0.0350734253125,-0.0385925211012363,-0.0508039630949497,,-0.0350734253125,-0.0338561716489494,
,,,-0.035064325215,-0.0385925211012363,-0.0508039630949497,,-0.035064325215,-0.0338561716489494,
,,,-0.0350552251175,-0.0385925211012363,-0.0186431705951691,,-0.0350552251175,-0.0338561716489494,
,,,-0.03504612502,-0.0385925211012363,-0.0186431705951691,,-0.03504612502,-0.0338561716489494,
,,,-0.0350370249225,-0.0385925211012363,-0.0508039630949497,,-0.0350370249225,-0.0338561716489494,
,,,-0.035027924825,-0.0385925211012363,-0.0508039630949497,,-0.035027924825,-0.0338561716489494,
,,,-0.0350188247275,-0.0385925211012363,-0.0186431705951691,,-0.0350188247275,-0.0338561716489494,
,,,-0.03500972463,-0.0385925211012363,-0.0186431705951691,,-0.03500972463,-0.0338561716489494,
,,,-0.0350006245325,-0.0385925211012363,-0.0186431705951691,,-0.0350006245325,-0.0338561716489494,
,,,-0.034991524435,-0.0385925211012363,-0.0186431705951691,,-0.034991524435,-0.0338561716489494,
,,,-0.0349824243375,-0.0385925211012363,-0.0186431705951691,,-0.0349824243375,-0.0338561716489494,
,,,-0.03497332424,-0.0385925211012363,-0.0508039630949497,,-0.03497332424,-0.0338561716489494,
,,,-0.0349642241425,-0.0385925211012363,-0.0508039630949497,,-0.0349642241425,-0.0338561716489494,
,,,-0.034955124045,-0.0385925211012363,-0.0186431705951691,,-0.034955124045,-0.0338561716489494,
,,,-0.0349460239475,-0.0385925211012363,-0.0186431705951691,,-0.0349460239475,-0.000653050607070327,
,,,-0.03493692385,-0.0385925211012363,-0.0186431705951691,,-0.03493692385,-0.0338561716489494,
,,,-0.0349278237525,-0.070753313601017,-0.0186431705951691,,-0.0349278237525,-0.000653050607070327,
,,,-0.034918723655,-0.0385925211012363,-0.0508039630949497,,-0.034918723655,-0.0338561716489494,
,,,-0.0349096235575,-0.00643172860145569,-0.0186431705951691,,-0.0349096235575,-0.000653050607070327,
,,,-0.03490052346,-0.0385925211012363,-0.0508039630949497,,-0.03490052346,-0.0338561716489494,
,,,-0.0348914233625,-0.0385925211012363,-0.0186431705951691,,-0.0348914233625,-0.0338561716489494,
,,,-0.034882323265,-0.0385925211012363,-0.0186431705951691,,-0.034882323265,-0.0338561716489494,
,,,-0.0348732231675,-0.0385925211012363,-0.0186431705951691,,-0.0348732231675,-0.0338561716489494,
,,,-0.03486412307,-0.0385925211012363,-0.0186431705951691,,-0.03486412307,-0.0338561716489494,
,,,-0.0348550229725,-0.0385925211012363,-0.0186431705951691,,-0.0348550229725,-0.0338561716489494,
,,,-0.034845922875,-0.070753313601017,-0.0186431705951691,,-0.034845922875,-0.0338561716489494,
,,,-0.0348368227775,-0.070753313601017,-0.0186431705951691,,-0.0348368227775,-0.0338561716489494,
,,,-0.03482772268,-0.0385925211012363,-0.0508039630949497,,-0.03482772268,-0.0338561716489494,
,,,-0.0348186225825,-0.070753313601017,-0.0186431705951691,,-0.0348186225825,-0.0338561716489494,
,,,-0.034809522485,-0.0385925211012363,-0.0508039630949497,,-0.034809522485,-0.000653050607070327,
,,,-0.0348004223875,-0.0385925211012363,-0.0186431705951691,,-0.0348004223875,-0.0338561716489494,
,,,-0.03479132229,-0.0385925211012363,-0.0508039630949497,,-0.03479132229,-0.0338561716489494,
,,,-0.0347822221925,-0.0385925211012363,-0.0186431705951691,,-0.0347822221925,-0.0338561716489494,
,,,-0.034773122095,-0.0385925211012363,-0.0508039630949497,,-0.034773122095,-0.0338561716489494,
,,,-0.0347640219975,-0.0385925211012363,-0.0508039630949497,,-0.0347640219975,-0.0338561716489494,
,,,-0.0347549219,-0.0385925211012363,-0.0186431705951691,,-0.0347549219,-0.0338561716489494,
,,,-0.0347458218025,-0.0385925211012363,-0.0186431705951691,,-0.0347458218025,-0.0338561716489494,
,,,-0.034736721705,-0.0385925211012363,-0.0186431705951691,,-0.034736721705,-0.0338561716489494,
,,,-0.0347276216075,-0.070753313601017,-0.0186431705951691,,-0.0347276216075,-0.0338561716489494,
,,,-0.03471852151,-0.0385925211012363,-0.0186431705951691,,-0.03471852151,-0.0338561716489494,
,,,-0.0347094214125,-0.0385925211012363,-0.0508039630949497,,-0.0347094214125,-0.0338561716489494,
,,,-0.034700321315,-0.0385925211012363,-0.0186431705951691,,-0.034700321315,-0.0338561716489494,
,,,-0.0346912212175,-0.0385925211012363,-0.0186431705951691,,-0.0346912212175,-0.000653050607070327,
,,,-0.03468212112,-0.0385925211012363,-0.0508039630949497,,-0.03468212112,-0.0338561716489494,
,,,-0.0346730210225,-0.070753313601017,-0.0186431705951691,,-0.0346730210225,-0.0338561716489494,
,,,-0.034663920925,-0.070753313601017,-0.0186431705951691,,-0.034663920925,-0.0338561716489494,
,,,-0.0346548208275,-0.0385925211012363,-0.0508039630949497,,-0.0346548208275,-0.0338561716489494,
,,,-0.03464572073,-0.0385925211012363,-0.0508039630949497,,-0.03464572073,-0.0338561716489494,
,,,-0.0346366206325,-0.0385925211012363,-0.0186431705951691,,-0.0346366206325,-0.0338561716489494,
,,,-0.034627520535,-0.0385925211012363,-0.0508039630949497,,-0.034627520535,-0.0338561716489494,
,,,-0.0346184204375,-0.0385925211012363,-0.0186431705951691,,-0.0346184204375,-0.0338561716489494,
,,,-0.03460932034,-0.0385925211012363,-0.0508039630949497,,-0.03460932034,-0.0338561716489494,
,,,-0.0346002202425,-0.0385925211012363,-0.0186431705951691,,-0.0346002202425,-0.0338561716489494,
,,,-0.034591120145,-0.0385925211012363,-0.0508039630949497,,-0.034591120145,-0.0338561716489494,
,,,-0.0345820200475,-0.00643172860145569,-0.0508039630949497,,-0.0345820200475,-0.000653050607070327,
,,,-0.03457291995,-0.0385925211012363,-0.0508039630949497,,-0.03457291995,-0.0338561716489494,
,,,-0.0345638198525,-0.0385925211012363,-0.0508039630949497,,-0.0345638198525,-0.000653050607070327,
,,,-0.034554719755,-0.0385925211012363,-0.0508039630949497,,-0.034554719755,-0.0338561716489494,
,,,-0.0345456196575,-0.0385925211012363,-0.0508039630949497,,-0.0345456196575,-0.000653050607070327,
,,,-0.03453651956,-0.0385925211012363,-0.0508039630949497,,-0.03453651956,-0.000653050607070327,
,,,-0.0345274194625,-0.0385925211012363,-0.0186431705951691,,-0.0345274194625,-0.0338561716489494,
,,,-0.034518319365,-0.070753313601017,-0.0508039630949497,,-0.034518319365,-0.0338561716489494,
,,,-0.0345092192675,-0.0385925211012363,-0.0508039630949497,,-0.0345092192675,-0.0338561716489494,
,,,-0.03450011917,-0.0385925211012363,-0.0508039630949497,,-0.03450011917,-0.000653050607070327,
,,,-0.0344910190725,-0.0385925211012363,-0.0186431705951691,,-0.0344910190725,-0.0338561716489494,
,,,-0.034481918975,-0.070753313601017,-0.0508039630949497,,-0.034481918975,-0.0338561716489494,
,,,-0.0344728188775,-0.070753313601017,-0.0186431705951691,,-0.0344728188775,-0.0338561716489494,
,,,-0.03446371878,-0.0385925211012363,-0.0186431705951691,,-0.03446371878,-0.0338561716489494,
,,,-0.0344546186825,-0.070753313601017,-0.0508039630949497,,-0.0344546186825,-0.0338561716489494,
,,,-0.034445518585,-0.0385925211012363,-0.0186431705951691,,-0.034445518585,-0.0338561716489494,
,,,-0.0344364184875,-0.0385925211012363,-0.0508039630949497,,-0.0344364184875,-0.0338561716489494,
,,,-0.03442731839,-0.0385925211012363,-0.0508039630949497,,-0.03442731839,-0.0338561716489494,
,,,-0.0344182182925,-0.0385925211012363,-0.0186431705951691,,-0.0344182182925,-0.0338561716489494,
,,,-0.034409118195,-0.0385925211012363,-0.0508039630949497,,-0.034409118195,-0.0338561716489494,
,,,-0.0344000180975,-0.070753313601017,-0.0508039630949497,,-0.0344000180975,-0.0338561716489494,
,,,-0.034390918,-0.070753313601017,-0.0508039630949497,,-0.034390918,-0.0338561716489494,
,,,-0.0343818179025,-0.0385925211012363,-0.0508039630949497,,-0.0343818179025,-0.0338561716489494,
,,,-0.034372717805,-0.0385925211012363,-0.0186431705951691,,-0.034372717805,-0.0338561716489494,
,,,-0.0343636177075,-0.0385925211012363,-0.0186431705951691,,-0.0343636177075,-0.0338561716489494,
,,,-0.03435451761,-0.0385925211012363,-0.0186431705951691,,-0.03435451761,-0.0338561716489494,
,,,-0.0343454175125,-0.0385925211012363,-0.0186431705951691,,-0.0343454175125,-0.000653050607070327,
,,,-0.034336317415,-0.0385925211012363,-0.0508039630949497,,-0.034336317415,-0.000653050607070327,
,,,-0.0343272173175,-0.0385925211012363,-0.0508039630949497,,-0.0343272173175,-0.000653050607070327,
,,,-0.03431811722,-0.0385925211012363,-0.0508039630949497,,-0.03431811722,-0.0338561716489494,
,,,-0.0343090171225,-0.0385925211012363,-0.0186431705951691,,-0.0343090171225,-0.0338561716489494,
,,,-0.034299917025,-0.0385925211012363,-0.0186431705951691,,-0.034299917025,-0.0338561716489494,
,,,-0.0342908169275,-0.0385925211012363,-0.0186431705951691,,-0.0342908169275,-0.0338561716489494,
,,,-0.03428171683,-0.0385925211012363,-0.0186431705951691,,-0.03428171683,-0.0338561716489494,
,,,-0.0342726167325,-0.0385925211012363,-0.0186431705951691,,-0.0342726167325,-0.0338561716489494,
,,,-0.034263516635,-0.0385925211012363,-0.0508039630949497,,-0.034263516635,-0.0338561716489494,
,,,-0.0342544165375,-0.0385925211012363,-0.0508039630949497,,-0.0342544165375,-0.0338561716489494,
,,,-0.03424531644,-0.0385925211012363,-0.0186431705951691,,-0.03424531644,-0.0338561716489494,
,,,-0.0342362163425,-0.070753313601017,-0.0508039630949497,,-0.0342362163425,-0.0338561716489494,
,,,-0.034227116245,-0.0385925211012363,-0.0186431705951691,,-0.034227116245,-0.0338561716489494,
,,,-0.0342180161475,-0.070753313601017,-0.0186431705951691,,-0.0342180161475,-0.0338561716489494,
,,,-0.03420891605,-0.070753313601017,-0.0186431705951691,,-0.03420891605,-0.0338561716489494,
,,,-0.0341998159525,-0.0385925211012363,-0.0186431705951691,,-0.0341998159525,-0.0338561716489494,
,,,-0.034190715855,-0.070753313601017,-0.0508039630949497,,-0.034190715855,-0.0338561716489494,
,,,-0.0341816157575,-0.070753313601017,-0.0186431705951691,,-0.0341816157575,-0.0338561716489494,
,,,-0.03417251566,-0.0385925211012363,-0.0186431705951691,,-0.03417251566,-0.0338561716489494,
,,,-0.0341634155625,-0.0385925211012363,-0.0508039630949497,,-0.0341634155625,-0.0338561716489494,
,,,-0.034154315465,-0.070753313601017,-0.0186431705951691,,-0.034154315465,-0.0338561716489494,
,,,-0.0341452153675,-0.0385925211012363,-0.0186431705951691,,-0.0341452153675,-0.000653050607070327,
,,,-0.03413611527,-0.0385925211012363,-0.0508039630949497,,-0.03413611527,-0.0338561716489494,
,,,-0.0341270151725,-0.0385925211012363,-0.0508039630949497,,-0.0341270151725,-0.0338561716489494,
,,,-0.034117915075,-0.070753313601017,-0.0186431705951691,,-0.034117915075,-0.0338561716489494,
,,,-0.0341088149775,-0.0385925211012363,-0.0186431705951691,,-0.0341088149775,-0.000653050607070327,
,,,-0.03409971488,-0.0385925211012363,-0.0186431705951691,,-0.03409971488,-0.0338561716489494,
,,,-0.0340906147825,-0.0385925211012363,-0.0508039630949497,,-0.0340906147825,-0.0338561716489494,
,,,-0.034081514685,-0.0385925211012363,-0.0508039630949497,,-0.034081514685,-0.0338561716489494,
,,,-0.0340724145875,-0.0385925211012363,-0.0186431705951691,,-0.0340724145875,-0.0338561716489494,
,,,-0.03406331449,-0.070753313601017,-0.0508039630949497,,-0.03406331449,-0.0338561716489494,
,,,-0.0340542143925,-0.0385925211012363,-0.0186431705951691,,-0.0340542143925,-0.0338561716489494,
,,,-0.034045114295,-0.0385925211012363,-0.0186431705951691,,-0.034045114295,-0.000653050607070327,
,,,-0.0340360141975,-0.0385925211012363,-0.0186431705951691,,-0.0340360141975,-0.0338561716489494,
,,,-0.0340269141,-0.0385925211012363,-0.0186431705951691,,-0.0340269141,-0.0338561716489494,
,,,-0.0340178140025,-0.0385925211012363,-0.0508039630949497,,-0.0340178140025,-0.0338561716489494,
,,,-0.034008713905,-0.0385925211012363,-0.0508039630949497,,-0.034008713905,-0.0338561716489494,
,,,-0.0339996138075,-0.0385925211012363,-0.0508039630949497,,-0.0339996138075,-0.0338561716489494,
,,,-0.03399051371,-0.070753313601017,-0.0186431705951691,,-0.03399051371,-0.000653050607070327,
,,,-0.0339814136125,-0.070753313601017,-0.0186431705951691,,-0.0339814136125,-0.000653050607070327,
,,,-0.033972313515,-0.070753313601017,-0.0186431705951691,,-0.033972313515,-0.0338561716489494,
,,,-0.0339632134175,-0.0385925211012363,-0.0186431705951691,,-0.0339632134175,-0.000653050607070327,
,,,-0.03395411332,-0.0385925211012363,-0.0186431705951691,,-0.03395411332,-0.0338561716489494,
,,,-0.0339450132225,-0.070753313601017,-0.0186431705951691,,-0.0339450132225,-0.0338561716489494,
,,,-0.033935913125,-0.0385925211012363,-0.0186431705951691,,-0.033935913125,-0.0338561716489494,
,,,-0.0339268130275,-0.0385925211012363,-0.0508039630949497,,-0.0339268130275,-0.0338561716489494,
,,,-0.03391771293,-0.0385925211012363,-0.0508039630949497,,-0.03391771293,-0.0338561716489494,
,,,-0.0339086128325,-0.070753313601017,-0.0186431705951691,,-0.0339086128325,-0.0338561716489494,
,,,-0.033899512735,-0.0385925211012363,-0.0508039630949497,,-0.033899512735,-0.0338561716489494,
,,,-0.0338904126375,-0.0385925211012363,-0.0186431705951691,,-0.0338904126375,-0.0338561716489494,
,,,-0.03388131254,-0.070753313601017,-0.0508039630949497,,-0.03388131254,-0.0338561716489494,
,,,-0.0338722124425,-0.0385925211012363,-0.0508039630949497,,-0.0338722124425,-0.000653050607070327,
