Address:,USB0::0x0957::0x179B::MY58106377::0::INSTR,,Analog Channels,,,,Function Channels,,
Level,0 V V,,-0.015176,-0.2132408618927,-0.0141131095588207,,-0.015176,-0.195312481373549,
,,,-0.015163,-0.2132408618927,-0.0141131095588207,,-0.015163,-0.214843729510903,
HORIZONTAL,,,-0.01515,-0.2132408618927,-0.0141131095588207,,-0.01515,-0.195312481373549,
Mode,MAIN,,-0.015137,-0.2132408618927,-0.0141131095588207,,-0.015137,-0.214843729510903,
Ref,CENT,,-0.015124,-0.2132408618927,-0.0141131095588207,,-0.015124,-0.195312481373549,
Main Scale,6.4 ms/,,-0.015111,-0.2132408618927,-0.0141131095588207,,-0.015111,-0.214843729510903,
Main Delay,16.15 ms,,-0.015098,-0.2132408618927,-0.0141131095588207,,-0.015098,-0.195312481373549,
,,,-0.015085,-0.2132408618927,-0.0141131095588207,,-0.015085,-0.195312481373549,
ACQUISITION,,,-0.015072,-0.2132408618927,-0.0141131095588207,,-0.015072,-0.195312481373549,
Mode,NORM,,-0.015059,-0.2132408618927,-0.0141131095588207,,-0.015059,-0.195312481373549,
RealTime,On,,-0.015046,-0.2132408618927,-0.0141131095588207,,-0.015046,-0.214843729510903,
Vectors,On,,-0.015033,-0.0122358351945877,-0.0141131095588207,,-0.015033,-0.214843729510903,
Persistence,Off,,-0.01502,-0.2132408618927,-0.0141131095588207,,-0.01502,-0.214843729510903,
,,,-0.015007,-0.2132408618927,-0.0141131095588207,,-0.015007,-0.214843729510903,
MEASUREMENTS,,,-0.014994,-0.2132408618927,-0.0141131095588207,,-0.014994,-0.195312481373549,
Pk-Pk(1),,,-0.014981,-0.2132408618927,0.00236930511891842,,-0.014981,-0.214843729510903,
Cur,17.5 V,,-0.014968,-0.2132408618927,-0.0141131095588207,,-0.014968,-0.214843729510903,
,,,-0.014955,-0.2132408618927,-0.0141131095588207,,-0.014955,-0.214843729510903,
Pk-Pk(2),,,-0.014942,-0.2132408618927,-0.0141131095588207,,-0.014942,-0.214843729510903,
Cur,2.27 V,,-0.014929,-0.2132408618927,-0.0141131095588207,,-0.014929,-0.195312481373549,
,,,-0.014916,-0.0122358351945877,-0.0141131095588207,,-0.014916,-0.195312481373549,
Pk-Pk(M),,,-0.014903,-0.2132408618927,-0.0141131095588207,,-0.014903,-0.214843729510903,
Cur,16.6 ,,-0.01489,-0.2132408618927,0.00236930511891842,,-0.01489,-0.214843729510903,
,,,-0.014877,-0.2132408618927,-0.0141131095588207,,-0.014877,-0.214843729510903,
,,,-0.014864,-0.2132408618927,-0.0141131095588207,,-0.014864,-0.214843729510903,
,,,-0.014851,-0.2132408618927,-0.0141131095588207,,-0.014851,-0.214843729510903,
,,,-0.014838,-0.2132408618927,-0.0141131095588207,,-0.014838,-0.214843729510903,
,,,-0.014825,-0.2132408618927,-0.0141131095588207,,-0.014825,-0.214843729510903,
,,,-0.014812,-0.2132408618927,-0.0141131095588207,,-0.014812,-0.214843729510903,
,,,-0.014799,-0.2132408618927,-0.0141131095588207,,-0.014799,-0.195312481373549,
,,,-0.014786,-0.2132408618927,-0.0141131095588207,,-0.014786,-0.214843729510903,
,,,-0.014773,-0.2132408618927,-0.0141131095588207,,-0.014773,-0.214843729510903,
,,,-0.01476,-0.2132408618927,-0.0141131095588207,,-0.01476,-0.214843729510903,
,,,-0.014747,-0.2132408618927,-0.0141131095588207,,-0.014747,-0.214843729510903,
,,,-0.014734,-0.2132408618927,-0.0141131095588207,,-0.014734,-0.214843729510903,
,,,-0.014721,-0.0122358351945877,-0.0141131095588207,,-0.014721,-0.195312481373549,
,,,-0.014708,-0.2132408618927,-0.0141131095588207,,-0.014708,-0.195312481373549,
,,,-0.014695,-0.2132408618927,-0.0141131095588207,,-0.014695,-0.214843729510903,
,,,-0.014682,-0.2132408618927,-0.0141131095588207,,-0.014682,-0.214843729510903,
,,,-0.014669,-0.2132408618927,-0.0141131095588207,,-0.014669,-0.195312481373549,
,,,-0.014656,-0.2132408618927,-0.0141131095588207,,-0.014656,-0.214843729510903,
,,,-0.014643,-0.0122358351945877,-0.0141131095588207,,-0.014643,-0.214843729510903,
,,,-0.01463,-0.2132408618927,-0.0141131095588207,,-0.01463,-0.214843729510903,
,,,-0.014617,-0.2132408618927,-0.0141131095588207,,-0.014617,-0.195312481373549,
,,,-0.014604,-0.2132408618927,-0.0141131095588207,,-0.014604,-0.195312481373549,
,,,-0.014591,-0.2132408618927,-0.0141131095588207,,-0.014591,-0.195312481373549,
,,,-0.014578,-0.2132408618927,-0.0141131095588207,,-0.014578,-0.195312481373549,
,,,-0.014565,-0.2132408618927,-0.0141131095588207,,-0.014565,-0.214843729510903,
,,,-0.014552,-0.2132408618927,-0.0141131095588207,,-0.014552,-0.214843729510903,
,,,-0.014539,-0.2132408618927,-0.0141131095588207,,-0.014539,-0.214843729510903,
,,,-0.014526,-0.2132408618927,-0.0141131095588207,,-0.014526,-0.214843729510903,
,,,-0.014513,-0.0122358351945877,-0.0141131095588207,,-0.014513,-0.214843729510903,
,,,-0.0145,-0.2132408618927,-0.0141131095588207,,-0.0145,-0.214843729510903,
,,,-0.014487,-0.2132408618927,-0.0305955242365599,,-0.014487,-0.195312481373549,
,,,-0.014474,-0.2132408618927,-0.0141131095588207,,-0.014474,-0.214843729510903,
,,,-0.014461,-0.2132408618927,-0.0141131095588207,,-0.014461,-0.195312481373549,
,,,-0.014448,-0.2132408618927,-0.0141131095588207,,-0.014448,-0.214843729510903,
,,,-0.014435,-0.2132408618927,-0.0141131095588207,,-0.014435,-0.195312481373549,
,,,-0.014422,-0.2132408618927,-0.0305955242365599,,-0.014422,-0.195312481373549,
,,,-0.014409,-0.0122358351945877,-0.0305955242365599,,-0.014409,-0.195312481373549,
,,,-0.014396,-0.2132408618927,-0.0141131095588207,,-0.014396,-0.214843729510903,
,,,-0.014383,-0.2132408618927,-0.0141131095588207,,-0.014383,-0.214843729510903,
,,,-0.01437,-0.2132408618927,-0.0141131095588207,,-0.01437,-0.214843729510903,
,,,-0.014357,-0.0122358351945877,-0.0141131095588207,,-0.014357,-0.214843729510903,
,,,-0.014344,-0.2132408618927,-0.0141131095588207,,-0.014344,-0.195312481373549,
,,,-0.014331,-0.2132408618927,-0.0141131095588207,,-0.014331,-0.195312481373549,
,,,-0.014318,-0.2132408618927,-0.0305955242365599,,-0.014318,-0.195312481373549,
,,,-0.014305,-0.2132408618927,-0.0141131095588207,,-0.014305,-0.195312481373549,
,,,-0.014292,-0.0122358351945877,-0.0141131095588207,,-0.014292,-0.214843729510903,
,,,-0.014279,-0.2132408618927,-0.0305955242365599,,-0.014279,-0.195312481373549,
,,,-0.014266,-0.2132408618927,-0.0141131095588207,,-0.014266,-0.195312481373549,
,,,-0.014253,-0.2132408618927,-0.0141131095588207,,-0.014253,-0.195312481373549,
,,,-0.01424,-0.2132408618927,-0.0141131095588207,,-0.01424,-0.214843729510903,
,,,-0.014227,-0.0122358351945877,-0.0141131095588207,,-0.014227,-0.195312481373549,
,,,-0.014214,-0.2132408618927,-0.0141131095588207,,-0.014214,-0.195312481373549,
,,,-0.014201,-0.2132408618927,-0.0141131095588207,,-0.014201,-0.214843729510903,
,,,-0.014188,-0.2132408618927,-0.0141131095588207,,-0.014188,-0.195312481373549,
,,,-0.014175,-0.2132408618927,-0.0141131095588207,,-0.014175,-0.214843729510903,
,,,-0.014162,-0.2132408618927,-0.0141131095588207,,-0.014162,-0.214843729510903,
,,,-0.014149,-0.2132408618927,-0.0141131095588207,,-0.014149,-0.214843729510903,
,,,-0.014136,-0.2132408618927,-0.0141131095588207,,-0.014136,-0.214843729510903,
,,,-0.014123,-0.2132408618927,-0.0141131095588207,,-0.014123,-0.214843729510903,
,,,-0.01411,-0.2132408618927,0.00236930511891842,,-0.01411,-0.214843729510903,
,,,-0.014097,-0.2132408618927,-0.0141131095588207,,-0.014097,-0.195312481373549,
,,,-0.014084,-0.2132408618927,-0.0141131095588207,,-0.014084,-0.214843729510903,
,,,-0.014071,-0.0122358351945877,-0.0141131095588207,,-0.014071,-0.214843729510903,
,,,-0.014058,-0.2132408618927,-0.0141131095588207,,-0.014058,-0.214843729510903,
,,,-0.014045,-0.2132408618927,-0.0141131095588207,,-0.014045,-0.195312481373549,
,,,-0.014032,-0.0122358351945877,-0.0141131095588207,,-0.014032,-0.214843729510903,
,,,-0.014019,-0.2132408618927,0.00236930511891842,,-0.014019,-0.214843729510903,
,,,-0.014006,-0.2132408618927,-0.0141131095588207,,-0.014006,-0.214843729510903,
,,,-0.013993,-0.2132408618927,-0.0141131095588207,,-0.013993,-0.214843729510903,
,,,-0.01398,-0.2132408618927,-0.0141131095588207,,-0.01398,-0.214843729510903,
,,,-0.013967,-0.2132408618927,-0.0141131095588207,,-0.013967,-0.195312481373549,
,,,-0.013954,-0.2132408618927,-0.0141131095588207,,-0.013954,-0.214843729510903,
,,,-0.013941,-0.2132408618927,-0.0141131095588207,,-0.013941,-0.214843729510903,
,,,-0.013928,-0.2132408618927,-0.0141131095588207,,-0.013928,-0.195312481373549,
,,,-0.013915,-0.2132408618927,-0.0141131095588207,,-0.013915,-0.214843729510903,
,,,-0.013902,-0.2132408618927,-0.0141131095588207,,-0.013902,-0.214843729510903,
,,,-0.013889,-0.2132408618927,-0.0305955242365599,,-0.013889,-0.214843729510903,
,,,-0.013876,-0.2132408618927,-0.0305955242365599,,-0.013876,-0.214843729510903,
,,,-0.013863,-0.0122358351945877,-0.0141131095588207,,-0.013863,-0.195312481373549,
,,,-0.01385,-0.2132408618927,-0.0141131095588207,,-0.01385,-0.214843729510903,
,,,-0.013837,-0.2132408618927,-0.0141131095588207,,-0.013837,-0.195312481373549,
,,,-0.013824,-0.0122358351945877,-0.0305955242365599,,-0.013824,-0.195312481373549,
,,,-0.013811,-0.2132408618927,-0.0141131095588207,,-0.013811,-0.195312481373549,
,,,-0.013798,-0.2132408618927,-0.0141131095588207,,-0.013798,-0.195312481373549,
,,,-0.013785,-0.2132408618927,-0.0141131095588207,,-0.013785,-0.214843729510903,
,,,-0.013772,-0.2132408618927,-0.0141131095588207,,-0.013772,-0.195312481373549,
,,,-0.013759,-0.2132408618927,-0.0305955242365599,,-0.013759,-0.214843729510903,
,,,-0.013746,-0.2132408618927,-0.0141131095588207,,-0.013746,-0.214843729510903,
,,,-0.013733,-0.2132408618927,-0.0141131095588207,,-0.013733,-0.214843729510903,
,,,-0.01372,-0.2132408618927,-0.0305955242365599,,-0.01372,-0.195312481373549,
,,,-0.013707,-0.2132408618927,-0.0305955242365599,,-0.013707,-0.214843729510903,
,,,-0.013694,-0.2132408618927,-0.0141131095588207,,-0.013694,-0.214843729510903,
,,,-0.013681,-0.2132408618927,-0.0141131095588207,,-0.013681,-0.195312481373549,
,,,-0.013668,-0.2132408618927,-0.0305955242365599,,-0.013668,-0.195312481373549,
,,,-0.013655,-0.2132408618927,-0.0305955242365599,,-0.013655,-0.195312481373549,
,,,-0.013642,-0.2132408618927,-0.0141131095588207,,-0.013642,-0.214843729510903,
,,,-0.013629,-0.2132408618927,-0.0141131095588207,,-0.013629,-0.195312481373549,
,,,-0.013616,-0.2132408618927,-0.0141131095588207,,-0.013616,-0.214843729510903,
,,,-0.013603,-0.2132408618927,-0.0141131095588207,,-0.013603,-0.214843729510903,
,,,-0.01359,-0.2132408618927,-0.0141131095588207,,-0.01359,-0.214843729510903,
,,,-0.013577,-0.2132408618927,-0.0141131095588207,,-0.013577,-0.214843729510903,
,,,-0.013564,-0.2132408618927,-0.0141131095588207,,-0.013564,-0.214843729510903,
,,,-0.013551,-0.2132408618927,-0.0141131095588207,,-0.013551,-0.214843729510903,
,,,-0.013538,-0.0122358351945877,-0.0141131095588207,,-0.013538,-0.195312481373549,
,,,-0.013525,-0.2132408618927,-0.0141131095588207,,-0.013525,-0.214843729510903,
,,,-0.013512,-0.2132408618927,-0.0141131095588207,,-0.013512,-0.195312481373549,
,,,-0.013499,-0.2132408618927,-0.0141131095588207,,-0.013499,-0.195312481373549,
,,,-0.013486,-0.2132408618927,-0.0141131095588207,,-0.013486,-0.195312481373549,
,,,-0.013473,-0.0122358351945877,-0.0141131095588207,,-0.013473,-0.214843729510903,
,,,-0.01346,-0.2132408618927,-0.0141131095588207,,-0.01346,-0.195312481373549,
,,,-0.013447,-0.2132408618927,-0.0141131095588207,,-0.013447,-0.214843729510903,
,,,-0.013434,-0.2132408618927,-0.0141131095588207,,-0.013434,-0.214843729510903,
,,,-0.013421,-0.2132408618927,-0.0141131095588207,,-0.013421,-0.195312481373549,
,,,-0.013408,-0.2132408618927,-0.0141131095588207,,-0.013408,-0.195312481373549,
,,,-0.013395,-0.2132408618927,-0.0305955242365599,,-0.013395,-0.195312481373549,
,,,-0.013382,-0.0122358351945877,-0.0141131095588207,,-0.013382,-0.214843729510903,
,,,-0.013369,-0.2132408618927,-0.0141131095588207,,-0.013369,-0.195312481373549,
,,,-0.013356,-0.2132408618927,0.00236930511891842,,-0.013356,-0.214843729510903,
,,,-0.013343,-0.2132408618927,-0.0141131095588207,,-0.013343,-0.214843729510903,
,,,-0.01333,-0.2132408618927,-0.0141131095588207,,-0.01333,-0.195312481373549,
,,,-0.013317,-0.2132408618927,-0.0141131095588207,,-0.013317,-0.214843729510903,
,,,-0.013304,-0.2132408618927,-0.0141131095588207,,-0.013304,-0.195312481373549,
,,,-0.013291,-0.2132408618927,-0.0141131095588207,,-0.013291,-0.214843729510903,
,,,-0.013278,-0.0122358351945877,-0.0141131095588207,,-0.013278,-0.214843729510903,
,,,-0.013265,-0.0122358351945877,-0.0141131095588207,,-0.013265,-0.214843729510903,
,,,-0.013252,-0.2132408618927,-0.0141131095588207,,-0.013252,-0.214843729510903,
,,,-0.013239,-0.2132408618927,-0.0141131095588207,,-0.013239,-0.214843729510903,
,,,-0.013226,-0.2132408618927,-0.0141131095588207,,-0.013226,-0.195312481373549,
,,,-0.013213,-0.2132408618927,-0.0141131095588207,,-0.013213,-0.195312481373549,
,,,-0.0132,-0.2132408618927,-0.0141131095588207,,-0.0132,-0.214843729510903,
,,,-0.013187,-0.2132408618927,-0.0141131095588207,,-0.013187,-0.214843729510903,
,,,-0.013174,-0.2132408618927,-0.0141131095588207,,-0.013174,-0.214843729510903,
,,,-0.013161,-0.2132408618927,-0.0141131095588207,,-0.013161,-0.214843729510903,
,,,-0.013148,-0.2132408618927,-0.0305955242365599,,-0.013148,-0.214843729510903,
,,,-0.013135,-0.2132408618927,-0.0305955242365599,,-0.013135,-0.214843729510903,
,,,-0.013122,-0.2132408618927,-0.0141131095588207,,-0.013122,-0.195312481373549,
,,,-0.013109,-0.2132408618927,-0.0141131095588207,,-0.013109,-0.195312481373549,
,,,-0.013096,-0.2132408618927,-0.0141131095588207,,-0.013096,-0.214843729510903,
,,,-0.013083,-0.2132408618927,-0.0141131095588207,,-0.013083,-0.195312481373549,
,,,-0.01307,-0.2132408618927,-0.0305955242365599,,-0.01307,-0.195312481373549,
,,,-0.013057,-0.2132408618927,-0.0141131095588207,,-0.013057,-0.214843729510903,
,,,-0.013044,-0.2132408618927,-0.0141131095588207,,-0.013044,-0.214843729510903,
,,,-0.013031,-0.2132408618927,-0.0305955242365599,,-0.013031,-0.214843729510903,
,,,-0.013018,-0.2132408618927,-0.0141131095588207,,-0.013018,-0.214843729510903,
,,,-0.013005,-0.2132408618927,-0.0141131095588207,,-0.013005,-0.214843729510903,
,,,-0.012992,-0.2132408618927,-0.0305955242365599,,-0.012992,-0.214843729510903,
,,,-0.012979,-0.2132408618927,-0.0141131095588207,,-0.012979,-0.214843729510903,
,,,-0.012966,-0.2132408618927,-0.0141131095588207,,-0.012966,-0.195312481373549,
,,,-0.012953,-0.2132408618927,-0.0141131095588207,,-0.012953,-0.195312481373549,
,,,-0.01294,-0.2132408618927,-0.0141131095588207,,-0.01294,-0.214843729510903,
,,,-0.012927,-0.2132408618927,-0.0141131095588207,,-0.012927,-0.214843729510903,
,,,-0.012914,-0.2132408618927,-0.0141131095588207,,-0.012914,-0.195312481373549,
,,,-0.012901,-0.2132408618927,-0.0141131095588207,,-0.012901,-0.214843729510903,
,,,-0.012888,-0.2132408618927,-0.0305955242365599,,-0.012888,-0.195312481373549,
,,,-0.012875,-0.0122358351945877,-0.0141131095588207,,-0.012875,-0.214843729510903,
,,,-0.012862,-0.2132408618927,-0.0141131095588207,,-0.012862,-0.214843729510903,
,,,-0.012849,-0.2132408618927,-0.0141131095588207,,-0.012849,-0.195312481373549,
,,,-0.012836,-0.2132408618927,-0.0141131095588207,,-0.012836,-0.214843729510903,
,,,-0.012823,-0.2132408618927,-0.0141131095588207,,-0.012823,-0.214843729510903,
,,,-0.01281,-0.2132408618927,-0.0141131095588207,,-0.01281,-0.214843729510903,
,,,-0.012797,-0.2132408618927,-0.0141131095588207,,-0.012797,-0.214843729510903,
,,,-0.012784,-0.2132408618927,-0.0141131095588207,,-0.012784,-0.214843729510903,
,,,-0.012771,-0.2132408618927,0.00236930511891842,,-0.012771,-0.214843729510903,
,,,-0.012758,-0.2132408618927,0.00236930511891842,,-0.012758,-0.214843729510903,
,,,-0.012745,-0.2132408618927,-0.0141131095588207,,-0.012745,-0.214843729510903,
,,,-0.012732,-0.2132408618927,0.00236930511891842,,-0.012732,-0.214843729510903,
,,,-0.012719,-0.2132408618927,-0.0141131095588207,,-0.012719,-0.214843729510903,
,,,-0.012706,-0.2132408618927,-0.0141131095588207,,-0.012706,-0.214843729510903,
,,,-0.012693,-0.2132408618927,-0.0141131095588207,,-0.012693,-0.214843729510903,
,,,-0.01268,-0.2132408618927,-0.0141131095588207,,-0.01268,-0.214843729510903,
,,,-0.012667,-0.2132408618927,-0.0141131095588207,,-0.012667,-0.195312481373549,
,,,-0.012654,-0.2132408618927,-0.0141131095588207,,-0.012654,-0.214843729510903,
,,,-0.012641,-0.2132408618927,-0.0141131095588207,,-0.012641,-0.214843729510903,
,,,-0.012628,-0.2132408618927,-0.0141131095588207,,-0.012628,-0.214843729510903,
,,,-0.012615,-0.2132408618927,-0.0141131095588207,,-0.012615,-0.195312481373549,
,,,-0.012602,-0.0122358351945877,-0.0305955242365599,,-0.012602,-0.214843729510903,
,,,-0.012589,-0.2132408618927,0.00236930511891842,,-0.012589,-0.214843729510903,
,,,-0.012576,-0.2132408618927,-0.0141131095588207,,-0.012576,-0.195312481373549,
,,,-0.012563,-0.2132408618927,-0.0141131095588207,,-0.012563,-0.214843729510903,
,,,-0.01255,-0.2132408618927,-0.0141131095588207,,-0.01255,-0.214843729510903,
,,,-0.012537,-0.2132408618927,-0.0141131095588207,,-0.012537,-0.195312481373549,
,,,-0.012524,-0.0122358351945877,-0.0141131095588207,,-0.012524,-0.214843729510903,
,,,-0.012511,-0.2132408618927,-0.0141131095588207,,-0.012511,-0.214843729510903,
,,,-0.012498,-0.2132408618927,-0.0141131095588207,,-0.012498,-0.214843729510903,
,,,-0.012485,-0.2132408618927,-0.0141131095588207,,-0.012485,-0.195312481373549,
,,,-0.012472,-0.2132408618927,-0.0141131095588207,,-0.012472,-0.214843729510903,
,,,-0.012459,-0.2132408618927,-0.0141131095588207,,-0.012459,-0.214843729510903,
,,,-0.012446,-0.2132408618927,-0.0141131095588207,,-0.012446,-0.214843729510903,
,,,-0.012433,-0.2132408618927,-0.0141131095588207,,-0.012433,-0.195312481373549,
,,,-0.01242,-0.2132408618927,-0.0141131095588207,,-0.01242,-0.214843729510903,
,,,-0.012407,-0.2132408618927,-0.0141131095588207,,-0.012407,-0.214843729510903,
,,,-0.012394,-0.2132408618927,-0.0141131095588207,,-0.012394,-0.214843729510903,
,,,-0.012381,-0.2132408618927,-0.0141131095588207,,-0.012381,-0.195312481373549,
,,,-0.012368,-0.2132408618927,-0.0141131095588207,,-0.012368,-0.214843729510903,
,,,-0.012355,-0.0122358351945877,-0.0141131095588207,,-0.012355,-0.214843729510903,
,,,-0.012342,-0.2132408618927,-0.0141131095588207,,-0.012342,-0.195312481373549,
,,,-0.012329,-0.2132408618927,-0.0305955242365599,,-0.012329,-0.214843729510903,
,,,-0.012316,-0.2132408618927,-0.0141131095588207,,-0.012316,-0.214843729510903,
,,,-0.012303,-0.2132408618927,-0.0141131095588207,,-0.012303,-0.195312481373549,
,,,-0.01229,-0.2132408618927,-0.0141131095588207,,-0.01229,-0.195312481373549,
,,,-0.012277,-0.2132408618927,-0.0305955242365599,,-0.012277,-0.214843729510903,
,,,-0.012264,-0.0122358351945877,-0.0141131095588207,,-0.012264,-0.195312481373549,
,,,-0.012251,-0.2132408618927,-0.0305955242365599,,-0.012251,-0.214843729510903,
,,,-0.012238,-0.2132408618927,-0.0141131095588207,,-0.012238,-0.214843729510903,
,,,-0.012225,-0.2132408618927,-0.0141131095588207,,-0.012225,-0.195312481373549,
,,,-0.012212,-0.2132408618927,-0.0141131095588207,,-0.012212,-0.214843729510903,
,,,-0.012199,-0.2132408618927,-0.0141131095588207,,-0.012199,-0.214843729510903,
,,,-0.012186,-0.2132408618927,0.00236930511891842,,-0.012186,-0.214843729510903,
,,,-0.012173,-0.2132408618927,-0.0141131095588207,,-0.012173,-0.214843729510903,
,,,-0.01216,-0.2132408618927,-0.0141131095588207,,-0.01216,-0.195312481373549,
,,,-0.012147,-0.2132408618927,-0.0141131095588207,,-0.012147,-0.214843729510903,
,,,-0.012134,-0.2132408618927,-0.0141131095588207,,-0.012134,-0.214843729510903,
,,,-0.012121,-0.0122358351945877,-0.0141131095588207,,-0.012121,-0.214843729510903,
,,,-0.012108,-0.2132408618927,-0.0141131095588207,,-0.012108,-0.195312481373549,
,,,-0.012095,-0.2132408618927,-0.0141131095588207,,-0.012095,-0.214843729510903,
,,,-0.012082,-0.2132408618927,-0.0141131095588207,,-0.012082,-0.214843729510903,
,,,-0.012069,-0.2132408618927,-0.0305955242365599,,-0.012069,-0.214843729510903,
,,,-0.012056,-0.2132408618927,-0.0141131095588207,,-0.012056,-0.195312481373549,
,,,-0.012043,-0.2132408618927,-0.0141131095588207,,-0.012043,-0.195312481373549,
,,,-0.01203,-0.2132408618927,-0.0141131095588207,,-0.01203,-0.195312481373549,
,,,-0.012017,-0.0122358351945877,-0.0141131095588207,,-0.012017,-0.214843729510903,
,,,-0.012004,-0.2132408618927,-0.0141131095588207,,-0.012004,-0.195312481373549,
,,,-0.011991,-0.0122358351945877,-0.0141131095588207,,-0.011991,-0.195312481373549,
,,,-0.011978,-0.2132408618927,0.00236930511891842,,-0.011978,-0.214843729510903,
,,,-0.011965,-0.2132408618927,-0.0305955242365599,,-0.011965,-0.195312481373549,
,,,-0.011952,-0.0122358351945877,-0.0305955242365599,,-0.011952,-0.214843729510903,
